id,title,year,manufactor,latitude,longitude
edanmdm-nasm_A19600130000,McDonnell FH-1 Phantom I,1940s,McDonnell Aircraft Corp.,38.627222,-90.197778
edanmdm-nasm_A19630308000,Aichi M6A1 Seiran (Clear Sky Storm),1940s,Aichi Aircraft Company (Aichi Kokuki KK),35.183333,136.9
edanmdm-nasm_A19600312000,Arado Ar 234 B-2 Blitz (Lightning),1940s,Arado,54.166667,12.083333
edanmdm-nasm_A19200004000,Fokker D.VII,1910s,Ostdeutsche Albatros Werke GmbH,52.437778,13.5475
edanmdm-nasm_A20030172000,Lockheed Martin X-35B STOVL,2000s,Lockheed Martin Aeronautics,32.089722,-97.3325
edanmdm-nasm_A19610111000,Naval Aircraft Factory N3N-3,1930s,Naval Aircraft Factory,39.952778,-75.163611
edanmdm-nasm_A19600335000,Mitsubishi A6M5 Reisen (Zero Fighter) Model 52 ZEKE,1940s,Nakajima Hikoki K. K.,35.689722,139.692222
edanmdm-nasm_A19540015000,Pfalz D.XII,1910s,Pfalz Flugzeug Werke A.G.,49.319444,8.431111
edanmdm-nasm_A19600296000,"Lockheed XP-80 ""Lulu Belle""",1940s,Lockheed Aircraft Corporation,34.180278,-118.328333
edanmdm-nasm_A19920072000,Lockheed SR-71 Blackbird,1960s,Lockheed Aircraft Corporation,34.180278,-118.328333
edanmdm-nasm_A19610158000,"Model, Static, Beech AT-7 Navigator",1950s,Beech Aircraft Corporation,37.688889,-97.336111
edanmdm-nasm_A19490028000,"Model, Static, Grumman F3F-1",1930s,Grumman Aircraft Engineering Corporation,40.746667,-73.484444
edanmdm-nasm_A20080399000,RQ-7A Shadow 200,2000s,AAI Corporation,39.503333,-76.702778
edanmdm-nasm_A19600327000,Messerschmitt Bf 109 G-6/R3,1940s,Messerschmitt A.G.,48.366667,10.9
edanmdm-nasm_A20000794000,Pioneer RQ-2A UAV,1980s,"Pioneer UAV, Inc.",39.503333,-76.702778
edanmdm-nasm_A19190007000,Voisin Type 8,1910s,Voisin Aeroplane Co.,48.8352,2.2409
edanmdm-nasm_A19820380000,Lockheed U-2C,1950s,Lockheed Aircraft Corporation,34.180278,-118.328333
edanmdm-nasm_A19890038000,McDonnell F-4S Phantom II,1960s,McDonnell Douglas Corporation,38.742222,-90.333333
edanmdm-nasm_A20160110000,Insitu ScanEagle X200,2010s,"Insitu, Inc.",45.715278,-121.466667
edanmdm-nasm_A19200001000,"Spad XIII ""Smith IV""",1910s,SPAD (Societe Anonyme Pour l'Aviation et ses Derives),48.85,2.35
edanmdm-nasm_A19600297000,"Martin B-26B-25-MA Marauder ""Flak-Bait""",1940s,Martin Aircraft Co.,33.740833,-117.881389
edanmdm-nasm_A19600332000,Aeronautica Macchi C.202 Folgore,1940s,Macchi S.A.,45.816667,8.833333
edanmdm-nasm_A19830113000,Frankfort TG-1A (Cinema),1940s,Frankfort Sailplane Company,44.633611,-86.234444
edanmdm-nasm_A19930294000,"Model, Static, Sopwith F.1/3 Camel ""Comic"" Night Fighter",1990s,Sopwith Aviation Company,51.4103,-0.2995
edanmdm-nasm_A19190006000,Curtiss JN-4D Jenny,1920s,Curtiss Aeroplane Company,42.904722,-78.849444
edanmdm-nasm_A19610129000,Dornier Do 335 A-0 Pfeil (Arrow),1940s,Dornier Werke G.m.b.H.,47.65,9.483333
edanmdm-nasm_A19190051000,De Havilland DH-4,1910s,Dayton-Wright Airplane Co.,39.759444,-84.191667
edanmdm-nasm_A19761017000,Lockheed F-104A Starfighter,1950s,Lockheed Aircraft Company,34.180278,-118.328333
edanmdm-nasm_A19610109000,Douglas SBD-6 Dauntless,1940s,Douglas Aircraft Company,34.021944,-118.481389
edanmdm-nasm_A19940151000,Sopwith 7F.1 Snipe,1910s,Sopwith Aviation Company,51.4103,-0.2995
edanmdm-nasm_A20120319000,"Micro UAV, Honeywell RQ-16 T-Hawk",2000s,Honeywell,40.838806,-74.474196
edanmdm-nasm_A19620062000,"Model, Static, Fokker D.VII",1910s,Fokker,52.366667,4.9
edanmdm-nasm_A19600313000,Bachem Ba 349 B-1 Natter (Viper),1940s,Bachem-Werke G.m.b.H.,51.433333,6.883333
edanmdm-nasm_A19610113000,Boeing-Stearman N2S-5 Kaydet,1930s,Boeing-Stearman,37.688889,-97.336111
edanmdm-nasm_A19730273000,Boeing P-26A Peashooter,1930s,Boeing Aircraft Co.,41.884111,-87.63875
edanmdm-nasm_A19860066000,Mikoyan-Gurevich MiG-15 (Ji-2) FAGOT B,1940s,Mikoyan-Gurevich,55.786667,37.575556
edanmdm-nasm_A19600331000,Supermarine Spitfire HF. Mk. VIIc,1930s,"Mitchell, Reginald J",50.8931,-1.3765
edanmdm-nasm_A19500092000,Albatros D.Va,1910s,Albatros Flugzeugwerke GmbH,52.52,13.405
edanmdm-nasm_A19600328000,Messerschmitt Me 262 A-1a Schwalbe (Swallow),1940s,Messerschmitt A.G.,48.366667,10.9
edanmdm-nasm_A20170105000,Sopwith F.1 Camel,1910s,Sopwith Aviation Company,51.4103,-0.2995
edanmdm-nasm_A20040180000,"UAV, General Atomics MQ-1L Predator A",2000s,"General Atomics Aeronautical Systems, Inc",32.97,-117.038611
edanmdm-nasm_A19600300000,North American P-51D-30-NA Mustang,1940s,North American Aviation,34.05,-118.25
edanmdm-nasm_A19120001000,1909 Wright Military Flyer,1900s,Wright Company,39.759444,-84.191667
